component (CVS directory),bug #,contributor's name,contribution size,committer,description if there is no bug #
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=129126 ,Hiroyuki Inaba,,,(When VerifyListener is added in org.eclipse.swt.widgets.Text...)  (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=103374 ,Igor Fedorenko,,,(Can't view cvs history for locked files)  Fixed in 3.2 M1
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=136921,Igor Fedorenko,,, ([IDE] New File dialog locks for 20 seconds) (3.2 RC2)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=103706 ,Istvan Benedek,,,(indent empty lines)  Fixed in 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=57191 ,Jens Bensing,,,(Display of CVS tag property of a file in mixed project...) Fixed in 3.2 M3
,,Jens Lukowski,,, contribution was for 2.0
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=76378 ,Jeremiah Lott ,,,(Initial implementation of ... NestedSyncExecDeadlockTest.java)  Fixed in 3.1 M4
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=128703 ,Jeremy Volkman,,,([DS] Refreshing previously-active bundles causes IllegalArgumentException)  (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=119364,Jiang Lin Quan,,," ([Help] Highlight error for ""A not B"" searching)"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=108071 ,John Kaplan,,,(template for body of newly created class)  Fixed in 3.2 M3
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=107839 ,Keith W. Campbell,,,([WorkbenchLauncher] Startup progress bar should ...)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=10087,Kiryl Kazakevich,,, ([Help] Missing Help Index Solution)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=72322 ,Klaus Wenger,,, (Provide Search drop down toolbar button rather than simple button) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=41172 ,Konstantin Scheglov,,,([Dialogs] ImageRegistry throws null pointer exception...)  Fixed in 3.0 M9
,,Kyril Kazakevich,,,Intel contribution of keyword Index support (ongoing)  Fixed 3.2 M4 and previous Milestones
,,Leon J. Breedt,,,provided patch to implement multiple folder creation support (in WizardNewFolderMainPage)   
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=130390 ,Luiz-Otávio Zorzella,,,(CamelCase algorithm cleanup and improvement) (3.2 RC1)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102461,Maik Schreiber,,, (Allow for keeping commit comments permanent)  Fixed in 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=122457 ,Mario Winterer,,,([Viewers] IllegalThreadStateException in BackgroundContentProvider)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=45623,Mark Melvin,,," (""Check Out As"" shows deceptive default location.)  (3.2 RC1)"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=119596  ,Markus Schorn,,,(Determine the search order in the search engine) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125639  ,Markus Schorn,,,"(Odd that binary resources searched when, e.g. * used as file pattern) (R3.2 M6)"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=126062 ,Markus Schorn,,, (Copy command (Ctrl+C) not retargeted) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=134627 ,Markus Schorn,,, (File Name Pattern Exclusion) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=134749 ,Markus Schorn,,, (search plugin disables alternate query providers) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=135308 ,Markus Schorn,,, (NullPointerException when starting textsearch without a selection) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=135524,Markus Schorn,,, (Search queries are slowed down artificially) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=66685 ,Markus Schorn,,, (Annotation updates should be bundled) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=72322,Markus Schorn,,,  (Provide Search drop down toolbar button rather than simple button) (R3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=89977,Matt Chapman,,, (Make JDT .java agnostic)  Fixed in 3.2 M4
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=46387,Matt Scarpino,,,(Patch for saving animated GIFs)  Fixed 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=87718  ,Mike Kaufman,,,"(Listener on build process on a per file basis)  Fixed in 3.2, Milestone unlisted -- as part of the effort for enabling APT extensions"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=78875,Michael Behm,,,help topics should validate: org.eclipse.platform.doc.user/reference/ref-72.htm
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=138194,Michael Behm,,,"typos, formatting inefficiencies in whatsNew/platform_whatsnew.html"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=142765,Michael Behm,,,Icon descriptions should use consistent markup
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=148702,Michael Behm,,,"reference/ref-8.htm ""Crash recovery"" isn't about crash recovery"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=149018,Michael Behm,,,ref-72.htm defines AB as the B that does A
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=149034,Michael Behm,,,Typo in ref-antprefs.htm
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=149075,Michael Behm,,,Unnecessary <br> in ref-16.htm
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=149474,Michael Behm,,,"Add ""preference page"" to ref-content-type.htm"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=149495,Michael Behm,,,"ref-12.htm should include ""preference page"" in the title"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=149600,Michael Behm,,,File menu description (ref-56.htm) should provide more detail
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=114664,Mikhail Khodjaiants,,,"(No UI access to the ""Search Subfolders"" option);  Fixed in 3.2 M4"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=53260 ,Miklos Fazekas ,,,([launcher] Keeping Eclipse icon in dock does not work)  (3.2 RC2)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125471 ,Nathan Beyer,,,(Unable to load resource using buddy classloading) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=118788 ,Oldrich Jedlicka,,,([PATCH] CVS diff command ends with: read lock failed - giving up)Sebastian   (3.2 RC1)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=113663 ,Oleg Besedin,,,(Refactor runtime into separate plugins)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=135040 ,Oliver Frouin,,,CCombo.dropdown doesn't handle the screen's right edge)  (3.2 RC1)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=104342,Patrick Schriner,,, (SSH2 Connection without saving password shows...)  Fixed in 3.2 M1
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=118920 ,Phil Loats,,,(eRCP request to optinally check the system bundle) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=84808,Philippe Ombredanne,,, (Read project name from .project file in CVS checkout...)  Fixed in 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=101180 ,Philippe Ombredanne ,,,([Import/Export] Import Existing Project into Workspace...)   Fixed in 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=87202 ,Rob Hughes,,,(automatic 'editors' check doesn't check for updated versions.)  Fixed in 3.2 M1
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125357 ,Roy Paterson,,,(Get an NPE when using DS) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=128703 ,Roy Paterson,,,([DS] Refreshing previously-active bundles causes IllegalArgumentException) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=116454,Sean Montgomery,,, ([typing] Linked mode proposal popup shows up on wrong monitor) (3.2 RC2)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=45095 ,Sean Montgomery,,,([hovering] Marker tooltip position wrong for dual monitor setup) (3.2 RC2)
,Bug 132145 ,Sebastian Davids,,,[Markers] Filter dialog problems
,Bug 132148 ,Sebastian Davids,,,[Markers] [Dialogs] Set Limits dialog problems
